word1;word2;n
great;food;458
good;food;457
good;service;447
great;service;371
best;dim;341
excellent;service;299
fine;dining;238
excellent;food;203
great;view;184
best;chinese;175
great;experience;160
good;dim;150
top;notch;150
good;quality;149
friendly;staff;141
great;dim;135
amazing;food;105
friendly;service; 92
amazing;view; 85
great;views; 84
good;price; 82
great;restaurant; 81
nice;view; 80
good;chinese; 79
nice;food; 77
great;meal; 75
no;queue; 75
excellent;dim; 68
best;meal; 67
good;restaurant; 66
best;food; 64
good;experience; 63
great;atmosphere; 63
good;choice; 61
good;reviews; 60
no;doubt; 60
good;selection; 58
nice;restaurant; 58
best;restaurants; 57
good;wine; 56
stunning;views; 56
best;restaurant; 54
great;time; 53
best;cantonese; 51
great;selection; 51
top;floor; 51
amazing;service; 50
better;dim; 50
good;meal; 50
amazing;views; 49
best;service; 49
great;variety; 48
fresh;ingredients; 47
good;sign; 47
great;chinese; 47
nice;service; 47
excellent;quality; 46
good;view; 46
stunning;view; 46
wonderful;experience; 46
beautiful;restaurant; 45
no;idea; 45
top;quality; 45
grand;hyatt; 44
perfectly;cooked; 44
best;meals; 43
fantastic;view; 43
good;atmosphere; 43
wonderful;food; 43
love;dim; 42
no;wait; 42
better;food; 41
fantastic;service; 41
best;dish; 40
best;view; 40
nice;atmosphere; 40
fantastic;food; 39
helpful;staff; 39
superb;service; 39
wow;factor; 39
good;taste; 37
nice;dim; 37
good;english; 36
great;night; 36
great;taste; 36
best;dumplings; 35
best;peking; 35
great;choice; 35
beautiful;view; 34
great;reviews; 34
nice;meal; 34
worth;visiting; 34
best;dishes; 33
best;views; 33
good;prices; 33
great;location; 33
great;staff; 33
lovely;food; 33
nice;ambience; 33
nice;experience; 33
popular;restaurant; 33
sweet;sour; 33
wonderful;service; 33
wonderful;view; 33
great;evening; 32
better;service; 31
good;variety; 31
great;ambience; 31
great;dinner; 31
poor;service; 31
excellent;chinese; 30
good;time; 30
no;complaints; 30
no;frills; 30
good;staff; 29
great;menu; 29
nice;dinner; 29
super;tasty; 29
amazing;dim; 28
beautifully;decorated; 28
great;price; 28
great;quality; 28
no;waiting; 28
