ID,Username,City,Country,Date,Comment
1,HKPANG,Ipoh,Malaysia,18-June-2017,"Old restaurant with average cleaniness. You have to order & pay at the front cashier. Just pick whatever you like (photos menu) behind that counter.
Frankly the soup was aromatic & not oily. My guess that the soup was made from boiling shrimp shells, pork bones and dried flounder to give it a distinct taste. Wontons were big & tasted better than most stores. Noodles were springly and without the strong alkaline after taste."
2,syangbr,Sao Paulo,SP,14-January-2016,"The place is very old and not very clean, opened for many decades, I started to eat there since 90´s when I was a kid and every time I return to China Guangzhou I must go there to eat. The soup that they use to cook the noodle is composed by many kinds of fish and seafood, very tasty, cooked for hours, it´s a must try! All foods, affordable prices."
3,Richard B,None,None,7-December-2019,"About 20 (all relatives) for lunch. Food very good in quantity and choice. Service efficient. About £10 per head. Good 4*. Recommended."
4,norwood3220,Vancouver,Canada,24-November-2019,"This restaurant is over-rated. They do not take reservation and so I arrived at 1045 just to ensure that I have not flown 10,000 km in vain and to be turned away, due to my limited days in Canton. The Michelin award was probably for the other dishes and since I was there for the dim sum , it was just ordinary.....so ordinary that I thought there are other restaurants with better tasting dim sum."
5,kendycandy,Budapest,Hungary,19-July-2019,"The food is really amazing. Nobody actually spoke English but they showed us Menu with photos for ordering since everything is written in Chinese. The place is huge and has this Traditional
Chinese Vibe. The place is pricey but absolutely worth it. I definitely recommend for everyone whos looking for perfect Chinese dining experience."
6,ksjlow,Kuala Lumpur,Malaysia,21-May-2019,"We went there for brunch and there was quite a queue. While waiting for our table, we walked around the garden in the restaurant. We were seated in the first hall on the ground floor.

The restaurant serves delicious Dim Sum. The service of the staff can be said to be not consistent. While we had a good experience at the restaurant, we did see a table next to us not being served adequately as they were seated in the corner of the hall. We also had no problem communicating with the staff as we spoke either Mandarin or Cantonese with the staff.

Would definitely visit the restaurant again when we are in Guangzhou."
7,TroelsJ61,Den Bosch,The Netherlands,23-February-2019,"As an expat this place is unique. Approx 60 years old it has seen its best days and live on old glory. Lots of private dining rooms.

Staff was not very attentive and sloppy with serving. The food was average at best.

Got it was only my hosts that kept me from walking out."
8,emma_china0626,None,None,4-May-2018,"The food was ok but the chicken we ordered looked miserable and tastes raw. The fish soup was good with large portions. The place is beautiful and huge however very empty during the trade show season for some reason. Not recommending"
9,dtarheel,England,United Kingdom,24-April-2018,"It’s a Chinese garden in the middle of a bustling metropolis. The juxtaposition of old and new and grey and green is fantastic!

The food is decent - nothing to shout about and pricing was reasonable I suppose as well for what is a higher need Cantonese restaurant in Guangzhou.

We had a number of dishes - roasted goose (which was nice and fat; although some of the bonier parts of the meat weren’t very tender); roasted char xiu (fat and awesome, but the slices were smallish); clay pot pig’s intestines with duck cooked in some kind of Chinese wine (meh); noodles with black mushrooms (simple, elegant dish); Kai Lan with tenderloin (the greens were fantastic, the tenderloin was not tender and it boggles my mind why anyone would offer tenderloin when it is about the most tasteless part of a cow/bull you can eat?); braised pork belly with picked veggies in a clay pot (in my mind the best item of all - but I am biased towards anything with fat in it); some fried chive dumplings; a lotus root soup and finally some buns (no idea why that was ordered at all).

Service was spotty - I spoke in mandarin and Cantonese and they understood me but appeared either confused by the instruction or perhaps the complexity of the instruction (in which case it was totally on me for asking for cut chili) or they had a hard time finding cut chili. Then again i had also asked for chili in chili oil several times and when they finally brought it to the table, put it in front of someone else. I’m calling it - they were confused because they probably weren’t paying much attention. They also messed up our beverage order - how difficult is it to understand 3 Tsingtao?

Having said that, I enjoyed the food I spite of the lack of a premium quality. The ambience as great."
10,oceancalmer,Medan,Indonesia,4-April-2018,"The place is very nice traditional resto styled.

This place is good for dimsum. For ala carte chinese lunch, this place is absolutely overrated. I think the plus point is the environment.

Ordered XiauLongBao, ginger sauce was not given. The taste.... (2 pieces eaten but not finished, the other 2 left untouched). So more or less I state my point of view. ;)

HaKau is so-so. Egg tart is so-so. Service is so-so.

In conclusion, visit this place if you want to see nice traditional resto. But do not expect to much from the food.

1st pict is the 2 pieces XiauLongBao left untouched."
11,Hamish C,Folkestone,United Kingdom,29-December-2017,"This was the second time I've eaten here in 2 years both times really excellent food. The best thing however is the atmosphere, decorated in the original style when it was first opened in about 1820, with a scenic courtyard and interesting interior decor. Both times hard to geta booking as its very popular."
12,Andy F,None,None,13-July-2017,"One of the most beautiful Chinese style restaurant in Guangzhou. Gorgeous place， spectacular building，excellent Guangzhou food. Prices not cheap through."
13,wks2017,Singapore,None,11-June-2017,"Dropped by BeiYuan last week while in Guangzhou. A well presented dining experience and the food is great. Prices are very reasonable but do come earlier to wait for a table. A good place to host guests in Guangzhou （why? no need to drink spirits at the breakfast table)"
14,hamishclifton,Folkestone,United Kingdom,18-December-2016,"This restaurant was established 90 years ago. Its set inside a large well kept old house with small pod with carp, hanging lanterns, and a wealth of decor to satisfy ones thirst for authentic Chinese atmosphere, like the carefully carved wooden grapes almost art deco on side of the upper dining room.

The food is quite simply, wonderful in Cantonese style, we had roast goode, a vegetarian tofu and celery and sweetcorn dish, some delicious  Dan Tart  (Portuguese style egg tarts) etc. About the best overall Chinese meal I have eaten."
15,Chun pang L,None,None,26-August-2016,"Comparing with Nan Yuan, the size of garden as well as restaurant is smaller, but the detail thing of Guangzhou dim sum, ambience, hygiene...are much better. The range of choice in the afternoon is not big, it provides less range with more focused quality food and dim sum. The speed of service is better too. Looking around, most customers are local Guangzhou fellows, with less tourists or foreigners, might be it stay away from metro, or have less exposure on public advertising. But in terms of light afternoon dim sum feast, quality is fantastic. If you were dim sum and tea fans, or a selfies guy, you should go to there once."
