ID,Username,City,Country,Date,Comment
1,Chloe C,None,None,19-December-2019,"Their duck especially skin is out of this world. The aromatic oil bursts into your mouth when you bite into it. Make sure to eat it while its hot!
The decor is lovely, manager is attentive and cute, food is on point!
I would definitely revisit this restaurant if I get to visit Macau again."
2,Globetrotterstar1966,Ittigen,Switzerland,12-August-2019,"When we stayed at the Strip in Macau, we wanted to eat once Beijing duck, traditional style. We asked some for a good address and we got it. We enjoyed a wonderful duck at this great restaurant for a very reasonable price. We loved the wonderful food. The personel was very nice. We recommend this restaurant for that kind of special dinner."
3,Shelley P,None,None,26-June-2019,"Visited on the last night of our stay in Macau and we were really excited to try their signature Beijing roast duck, we had a slightly odd variety of starters but they were still pleasant just not quite suited to our European palate, the dim sum we had next were tasty but a very small portion with only 4 dim sum for around 140 hkd. We had ordered half a duck next for a cost of 480 HKD, a whole duck was brought to the table and a very small portion was carved for us and placed on the table, at most a quarter of duck, and the rest taken away. It was tasty but no where near good enough to justify the cost and a tiny portion. We left feeling hungry and quite disappointed."
4,Tanya B,None,None,19-March-2019,"This restaurant has a gorgeous interior and the food is exquisite. It is a bit expensive, but the food is worth it if you want to treat yourself to a nice meal."
5,T4622ZHsteve,Lytham St Anne's,United Kingdom,26-December-2018,"Whenever i visit Macau this is the one restaurant i look forward to visiting the most, the food is always of an excellent standard. The staff are always attentive and will help with recommendations. Although not as reasonable in price as it has been in the past, the portion sizes are large so it is still great value for money. My favorite dishes are the Egg Plant with Garlic and Soy and the Stir Fried Lamb with Cumin."
6,LinaJ470,Jakarta,Indonesia,19-December-2018,"My 2nd dinner at Beijing Kitchen during my travels in Macao
Miss the fried rice and Manggo Puding
Since we are only two persons we can't order Peking Grill Duck but 3 tables next to us all orders and smells very tasty hope next time will try it with more family members

Services very nice and very nice ambient restaurant"
7,80allyr,None,None,18-September-2018,"My wife and I only had time for some snacks and a drink here before attending The House of Dancing Water show, but we're sorry we couldn't have enjoyed a full and proper meal. It's a lovely restaurant with nice atmosphere and ambience, and the...More"
8,itaewon-mickey,None,None,6-September-2018,"Experienced great dining, super service. Server made great recommendations on dishes, explained dishes that we asked about (wanted to try dish that looked good on another table), beijing duck was prepared and served at the table was delicious, good wine selection, seafood soup/salads were excellent...More"
9,JimmyMayer,None,None,3-September-2018,"Book your duck and experience an original Beijing Duck service at your table. The duck was prepared to perfection and the chef had it sliced at your table with all the traditional condiments. Looking forward to my next visit to this restaurant.More"
10,magsy2013,None,None,29-August-2018,"Unbelievable value - 3 appetisers, whole duck, seasonal vegetables, pork dumplings, dessert plus a bottle of pinot noir for less than $900. The meal is good for 4 people. We did not pick the right appetisers so it was just average. The duck was excellent!...More"
11,rtaryl,None,None,12-August-2018,"The restaurant provides a good atmosphere of Beijing style. The Peking duck and dumplings are delicious. The services are also good. It is worth trying.More"
12,carmencM18IE,None,None,28-July-2018,"The goose still really good that’s why we keep going back! Love the pancake and we ordered extra. The sour pickle soup with fish also tasty but not as good as it first open! The dessert feel like buffet quality! Don’t waste quota on warm...More"
13,X8571YJpetero,None,None,23-July-2018,"We planed to have a nice dinner after the show. We talked to the lady who makes the bookings in this restaurant and asked her if a half Peking duck would be sufficient as a dinner for the two of us. She said yes absolutely....More"
14,LizMacau,None,None,14-May-2018,"We went for Mothers Day, 3 adults and 1 kid. As our guests were vegetarian so selected vegetarian dumplings, not that tasty and the whole meal, including 2 glasses of white wine and 2 beers was MOP$1400 +. The little tiny 2 scoops of ice...More"
